淵	渊
硯	砚
緣	缘
軟	软
鉛	铅
鳶	鸢
悅	悦
熱	热
閱	阅
燄	焰
厭	厌
厴	厣
懨	恹
鹽	盐
艷	艳
豔	艳
閆	闫
閻	阎
饜	餍
魘	魇
鯰	鲶
葉	叶
曄	晔
燁	烨
靨	靥
詠	咏
嬰	婴
嶸	嵘
攖	撄
獰	狞
瓔	璎
癭	瘿
纓	缨
塋	茔
榮	荣
營	营
縈	萦
蠑	蝾
贏	赢
潁	颍
穎	颖
囈	呓
瘞	瘗
穢	秽
藝	艺
譽	誉
詣	诣
銳	锐
預	预
鯢	鲵
杇	圬
烏	乌
吳	吴
嗚	呜
塢	坞
埡	垭
奧	奥
娛	娱
噁	恶
汙	污
襖	袄
誤	误
鄔	邬
鎢	钨
驁	骜
鰲	鳌
鼇	鳌
獄	狱
鈺	钰
媼	媪
慍	愠
氳	氲
溫	温
穩	稳
蘊	蕴
醞	酝
醖	酝
韞	韫
膃	腽
甕	瓮
擁	拥
癰	痈
廱	痈
窪	洼
臥	卧
枙	栀
渦	涡
窩	窝
萵	莴
蝸	蜗
訛	讹
緩	缓
頑	顽
媧	娲
聵	聩
僥	侥
祅	祆
嬈	娆
堯	尧
擾	扰
撓	挠
搖	摇
橈	桡
澆	浇
瑤	瑶
窯	窑
繞	绕
蕘	荛
蟯	蛲
謠	谣
遙	遥
銚	铫
饒	饶
鰩	鳐
鷂	鹞
縟	缛
鵒	鹆
鎔	熔
踴	踊
湧	涌
傭	佣
聳	耸
鏞	镛
俁	俣
祐	佑
優	优
憂	忧
慪	怄
紆	纡
郵	邮
魷	鱿
齲	龋
勗	勖
頊	顼
雲	云
韻	韵
蕓	芸
惲	恽
殞	殒
抎	殒
紜	纭
運	运
鄆	郓
鄖	郧
隕	陨
鬱	郁
願	愿
員	员
園	园
圓	圆
諢	诨
轅	辕
遠	远
鴛	鸳
黿	鼋
粵	粤
鉞	钺
戉	钺
為	为
偉	伟
偽	伪
衛	卫
餵	喂
圍	围
幃	帏
溈	沩
潿	涠
煒	炜
瑋	玮
緯	纬
葦	苇
諉	诿
謂	谓
違	违
闈	闱
韋	韦
韙	韪
籲	吁
遊	游
崳	嵛
濰	潍
猶	犹
維	维
蕕	莸
覦	觎
誘	诱
諛	谀
諭	谕
遺	遗
鈾	铀
銪	铕
鮪	鲔
潤	润
閏	闰
絨	绒
慇	殷
癮	瘾
銀	银
隱	隐
釔	钇
蔭	荫
陰	阴
飲	饮
應	应
鷹	鹰
義	义
儀	仪
醫	医
擬	拟
艤	舣
蟻	蚁
議	议
誼	谊
銥	铱
鐿	镱
爾	尔
迆	迤
異	异
詒	诒
貳	贰
貽	贻
邇	迩
鉺	铒
頤	颐
飴	饴
餌	饵
鮞	鲕
鴯	鸸
謚	谥
紉	纫
認	认
軔	轫
銦	铟
韌	韧
鎰	镒
賃	赁
飪	饪
眥	眦
藉	借
茲	兹
玆	兹
諮	谘
貲	赀
資	资
鋅	锌
鶿	鹚
鷓	鹧
綽	绰
鵲	鹊
棧	栈
殘	残
盞	盏
驏	骣
潛	潜
蠶	蚕
