# 한자|뜻|음|부수|획수
汎|뜰, 넓을|범|氵|6
泛|띄울, 물을 뿌릴|범|氵|8
犯|범할|범|犭|5
範|법, 한계|범|竹|15
范|벌, 범|범|艹|9
法|법, 골|법|氵|8
琺|법랑|법|王|12
僻|후미질, 천할|벽|亻|15
劈|쪼갤|벽|刀|15
壁|바람벽, 진터|벽|土|16
擘|엄지손가락, 나눌|벽|手|17
檗|횡벽나무|벽|木|17
璧|옥|벽|玉|18
癖|버릇, 적취|벽|疒|18
碧|푸를, 푸른 옥|벽|石|14
蘗|황경나무, 쓸|벽|艹|21
闢|열, 피할|벽|門|21
霹|벼락|벽|雨|21
便|오줌|변|亻|9
卞|조급할|변|卜|4
弁|고깔, 관|변|廾|5
變|변할, 고칠|변|言|23
辨|분별할|변|辛|16
辯|말잘할, 다툴|변|辛|21
邊|가, 변방|변|辶|19
別|다를, 헤어질|별|刂|7
瞥|언뜻볼|별|目|17
鱉|자라|별|魚|23
鼈|자라|별|黽|25
丙|남녘, 세째 천간|병|一|5
倂|아우를, 나란할|병|亻|10
兵|군사, 병기|병|八|7
屛|병풍, 두려워할|병|尸|11
幷|아우를, 합할|병|干|8
昞|밝을|병|日|9
昺|밝을|병|日|9
柄|자루, 권세|병|木|9
棅|자루, 권세|병|木|12
炳|밝을|병|火|9
甁|병, 두레박|병|瓦|11
病|병, 근심|병|疒|10
秉|잡을|병|禾|8
竝|아우를, 나란할|병|立|10
輧|거마소리, 수레|병|車|15
餠|떡|병|食|17
騈|땅 이름|병|馬|18
保|보전할|보|亻|9
堡|작은성|보|土|12
報|갚을, 대답할|보|土|12
寶|보배, 돈|보|宀|20
普|넓을|보|日|12
步|걸음, 여섯자|보|止|7
洑|보|보|氵|9
湺|보|보|氵|12
潽|물|보|氵|15
珤|보배|보|王|10
甫|클, 비로소|보|用|7
菩|보살, 보리|보|艹|12
補|기울, 도울|보|衤|12
褓|포대기|보|衤|14
譜|적을, 악보|보|言|19
輔|도울, 바퀴덧방나무|보|車|14
伏|엎드릴, 숨을|복|亻|6
僕|사내종, 마부|복|亻|14
匐|길|복|勹|11
卜|점|복|卜|2
宓|엎드릴|복|宀|8
復|회복할, 대답할|복|彳|12
服|옷, 직책|복|月|8
福|복, 음복할|복|示|14
腹|배, 마음|복|月|13
茯|복령|복|艹|10
蔔|무우|복|艹|15
複|겹칠|복|衤|14
覆|엎어질, 배반할|복|覀|18
輹|복토|복|車|16
輻|바퀴살|복|車|16
馥|향기|복|香|18
鰒|전복|복|魚|20
本|근본, 뿌리|본|木|5
乶|음역자|볼|乙|8
俸|녹|봉|亻|10
奉|맏들|봉|大|8
封|봉할, 흙더미 쌓을|봉|寸|9
峯|봉우리|봉|山|10
峰|봉우리|봉|山|10
捧|받들, 끌어안을|봉|扌|11
棒|몽둥이, 칠|봉|木|12
烽|봉화|봉|火|11
熢|봉화|봉|火|15
琫|칼집장식|봉|王|12
縫|꿰맬, 기울|봉|糸|17
蓬|쑥, 더부룩할|봉|艹|15
蜂|벌|봉|虫|13
逢|만날|봉|辶|11
鋒|끝, 병기|봉|金|15
鳳|봉황|봉|鳥|14
不|아니, 못할|부|一|4
付|줄, 부탁|부|亻|5
俯|숙일|부|亻|10
傅|스승, 도울|부|亻|12
剖|쪼갤, 가를|부|刂|10
副|버금|부|刂|11
否|아닐|부|口|7
咐|분부할|부|口|8
埠|부두|부|土|11
夫|사내, 남편|부|大|4
婦|며느리, 지어미|부|女|11
孚|미쁠, 기름|부|子|7
孵|알깔|부|子|14
富|가멸, 넉넉할|부|宀|12
府|마을, 곳집|부|广|8
復|다시|부|彳|12
扶|도울, 부축할|부|扌|7
敷|펼, 베풀|부|攵|15
斧|도끼|부|斤|8
浮|뜰, 넘칠|부|氵|10
溥|펼|부|氵|13
父|아비, 자|부|父|4
符|부신, 증거|부|竹|11
簿|장부|부|竹|19
缶|장군, 양병|부|缶|6
腐|썩을, 마음 괴롭힐|부|肉|14
腑|장부|부|月|12
膚|살갖, 얕을|부|月|15
艀|작은배|부|舟|13
芙|연꽃|부|艹|8
莩|갈대청|부|艹|11
訃|부고, 부고낼|부|言|9
負|질, 빚질|부|貝|9
賦|구실, 줄|부|貝|15
賻|부의|부|貝|17
赴|다다를, 알릴|부|走|9
趺|책상다리할|부|足|11
部|거느릴, 분류|부|阝|11
釜|가마솥|부|金|10
阜|언덕, 성할|부|阜|8
附|붙을|부|阝|8
駙|곁말|부|馬|15
鳧|물오리|부|鳥|13
北|북녘|북|匕|5
分|나눌, 신분|분|刀|4
吩|분부할|분|口|7
噴|뿜을, 재채기할|분|口|15
墳|봉분|분|土|15
奔|달아날, 패할|분|大|9
奮|떨칠, 힘쓸|분|大|16
忿|분할, 성낼|분|心|8
憤|성낼, 분할|분|忄|15
扮|꾸밀|분|扌|7
昐|햇빛|분|日|8
汾|물 이름, 물 구르는|분|氵|7
焚|불사를|분|火|12
盆|동이|분|皿|9
粉|가루, 분|분|米|10
糞|똥, 더러울|분|米|17
紛|어지러울, 번잡할|분|糸|10
芬|향내, 어지러울|분|艹|8
賁|결낼|분|貝|12
雰|안개, 눈날릴|분|雨|12
不|아니, 못할|불|一|4
佛|부처, 어그러질|불|亻|7
弗|아닐, 떨|불|弓|5
彿|비슷할|불|彳|8
拂|떨칠, 거슬릴|불|扌|8
崩|무너질, 죽을|붕|山|11
朋|벗, 떼|붕|月|8
棚|시렁, 누각|붕|木|12
硼|붕사|붕|石|13
繃|묶을, 감을|붕|糸|17
鵬|붕새|붕|鳥|19
丕|클, 으뜸|비|一|5
備|갖출|비|亻|12
匕|비수, 숟가락|비|匕|2
匪|도둑|비|匚|10
卑|낮을, 나라 이름|비|十|8
妃|왕비, 짝|비|女|6
婢|계집종, 소첩|비|女|11
庇|덮을|비|广|7
悲|슬플|비|心|12
憊|고달플|비|心|16
扉|문짝, 사립문|비|戶|12
批|비평할, 손으로 칠|비|扌|7
斐|문채날|비|文|12
枇|비파나무|비|木|8
榧|비자나무|비|木|14
比|견줄, 나란할|비|比|4
毖|삼갈, 흐를|비|比|9
毗|도울|비|比|9
毘|도울|비|比|9
沸|끓을|비|氵|8
泌|샘물 흐를|비|氵|8
琵|비파|비|王|12
痺|저릴, 마비할|비|疒|13
砒|비소|비|石|9
碑|비|비|石|13
秕|쭉정이, 더러울|비|禾|9
秘|숨길, 비밀|비|禾|10
粃|쭉정이, 아니|비|米|10
緋|붉을, 비단|비|糸|14
翡|물총새, 비취옥|비|羽|14
肥|살질, 걸|비|月|8
脾|지라|비|月|12
臂|팔, 팔뚝|비|月|17
菲|엷을, 향초|비|艹|12
蜚|바퀴, 날|비|虫|14
裨|도울, 더할|비|衤|13
誹|헐뜯을|비|言|15
譬|비유할|비|言|20
費|쓸|비|貝|12
鄙|더러울, 천할|비|阝|14
非|아닐, 어긋날|비|非|8
飛|날, 높을|비|飛|9
鼻|코, 시초|비|鼻|14
嚬|찡그릴|빈|口|19
嬪|궁녀, 아내|빈|女|17
彬|빛날|빈|彡|11
斌|빛날|빈|文|12
檳|빈랑나무|빈|木|18
殯|초빈할|빈|歹|18
浜|물가, 끝|빈|氵|10
濱|물가, 임박할|빈|氵|17
瀕|물가, 임박할|빈|氵|19
牝|암컷, 골짜기|빈|牛|6
玭|구슬 이름|빈|王|8
貧|가난할, 모자랄|빈|貝|11
賓|손, 인도할|빈|貝|14
頻|자주, 찡그릴|빈|頁|16
憑|기댈, 증거|빙|心|16
氷|얼음, 얼|빙|水|5
聘|부를, 장가들|빙|耳|13
騁|달릴, 극도 에이를|빙|馬|17
乍|떨어질|사|丿|5
事|일, 섬길|사|亅|8
些|적을|사|二|7
仕|벼슬, 벼슬할|사|亻|5
伺|엿볼, 찾을|사|亻|7
似|같을|사|亻|7
使|하여금, 시킬|사|亻|8
俟|기다릴|사|亻|9
僿|잘게 부술|사|亻|15
史|역사, 사관|사|口|5
司|맡을|사|口|5
唆|부추길, 넌지시 알|사|口|10
嗣|이을, 익힐|사|口|13
四|넉|사|囗|5
士|선비, 사내|사|士|3
奢|사치|사|大|12
娑|춤출, 세상|사|女|10
寫|베낄, 그릴|사|宀|15
寺|마을|사|寸|6
射|쏠|사|寸|10
巳|여섯째 지지|사|己|3
師|스승, 군사|사|巾|10
徙|옮길|사|彳|11
思|생각할, 그리워할|사|心|9
捨|버릴, 베풀|사|扌|11
斜|비낄|사|斗|11
斯|이, 어조사|사|斤|12
柶|수저, 윷|사|木|9
査|사실할, 떼|사|木|9
梭|북|사|木|11
死|죽을, 다할|사|歹|6
沙|모래, 일|사|氵|7
泗|물 이름, 콧물|사|氵|8
渣|찌끼|사|氵|12
瀉|쏟을, 게울|사|氵|18
獅|사자|사|犭|13
砂|모래, 약 이름|사|石|9
社|땅귀신, 단체|사|示|8
祀|제사지낼|사|示|8
祠|제사지낼, 사당|사|示|10
私|사, 간통할|사|禾|7
篩|체, 칠|사|竹|16
紗|깁, 외올실|사|糸|10
絲|실, 악기 이름|사|糸|12
肆|방자할, 늘어 놓을|사|聿|13
舍|집, 폐할|사|舌|8
莎|사초|사|艹|11
蓑|도롱이|사|艹|14
蛇|뱀|사|虫|11
裟|가사|사|衣|13
詐|속일|사|言|12
詞|말, 고할|사|言|12
謝|사례할, 사양할|사|言|17
賜|줄|사|貝|15
赦|놓아줄|사|赤|11
辭|말, 사양할|사|辛|19
邪|간사할|사|阝|7
飼|기를, 칠|사|食|14
駟|사마|사|馬|15
麝|사향노루|사|鹿|21
削|깎을, 빼앗을|삭|刂|9
數|자주|삭|攵|15
朔|초하루, 북녘|삭|月|10
索|노, 헤어질|삭|糸|10
傘|우산|산|人|12
刪|깍을, 제할|산|刂|7
山|메|산|山|3
散|헤어질, 한산할|산|攵|12
汕|오구|산|氵|6
珊|산호|산|王|9
産|낳을, 날|산|生|11
疝|산증|산|疒|8
算|셈할, 산가지|산|竹|14
蒜|마늘|산|艹|14
酸|실, 산소|산|酉|14
霰|싸라기눈|산|雨|20
乷|살|살|乙|8
撒|흩을, 뿌릴|살|扌|15
煞|죽일, 없앨|살|灬|13
薩|보살|살|艹|18
殺|죽일, 없앨|살|殳|11
三|석, 거듭|삼|一|3
參|석|삼|厶|11
杉|삼목|삼|木|7
森|나무빽빽할, 성할|삼|木|12
渗|밸, 샐|삼|氵|11
芟|벨|삼|艹|8
蔘|인삼, 늘어질|삼|艹|15
衫|적삼, 옷|삼|衤|8
揷|꽂을, 끼울|삽|扌|12
澁|떫을, 껄끄러울|삽|氵|15
鈒|창, 새길|삽|金|12
颯|바람소리|삽|風|14
上|위, 오를|상|一|3
傷|상할, 해칠|상|亻|13
像|형상, 본뜰|상|亻|14
償|갚을|상|亻|17
商|장사, 장수|상|口|11
喪|복입을, 초상|상|口|12
嘗|맛볼, 일찍|상|口|14
孀|과부|상|女|20
尙|오히려, 숭상할|상|小|8
峠|고개|상|山|9
常|떳떳할, 항상|상|巾|11
床|평상, 마루|상|广|7
庠|학교|상|广|9
廂|행랑, 곁간|상|广|12
想|생각할|상|心|13
桑|뽕나무|상|木|10
橡|상수리|상|木|16
湘|물 이름|상|氵|12
爽|시원할, 밝을|상|爻|11
牀|평상, 마루|상|爿|8
相|서로, 볼|상|目|9
祥|상서로울, 복|상|示|11
箱|상자|상|竹|15
翔|날|상|羽|12
裳|아랫도리옷|상|衣|14
觴|잔, 잔낼|상|角|18
詳|자세할, 상세할|상|言|13
象|코끼리, 꼴|상|豕|12
賞|상줄, 완상할|상|貝|15
霜|서리, 해|상|雨|17
狀|형상|상|犬|8
塞|변방, 요새|새|土|13
璽|옥새, 인장|새|玉|19
賽|굿|새|貝|17
嗇|인색할, 탐낼|색|口|13
塞|막을|색|土|13
穡|거둘, 아낄|색|禾|18
索|찾을, 더듬을|색|糸|10
色|빛, 낯|색|色|6
牲|희생|생|牛|9
生|날|생|生|5
甥|생질, 사위|생|生|12
省|덜, 생략할|생|目|9
笙|생황|생|竹|11
墅|농막, 별장|서|土|14
壻|사위|서|士|12
嶼|섬|서|山|17
序|차례, 학교|서|广|7
庶|여러, 가까울|서|广|11
徐|천천히 할|서|彳|10
恕|용서할, 어질|서|心|10
抒|떠낼, 쏟을|서|扌|7
捿|살, 집|서|扌|11
敍|차례, 쓸|서|攴|11
暑|더울, 여름철|서|日|13
曙|새벽, 밝을|서|日|18
書|글, 쓸|서|曰|10
栖|깃들일|서|木|10
棲|살, 집|서|木|12
犀|무소|서|牛|12
瑞|상서, 홀|서|王|13
筮|점, 점대|서|竹|13
絮|솜, 버들개지|서|糸|12
緖|실마리, 나머지|서|糸|15
署|마을, 나눌|서|罒|14
胥|서로자, 다|서|月|9
舒|펼, 느릴|서|舌|12
薯|마, 고구마|서|艹|18
西|서녘|서|覀|6
誓|맹세할|서|言|14
逝|갈, 죽을|서|辶|11
鋤|호미, 김맬|서|金|15
黍|기장|서|黍|12
鼠|쥐, 근심할|서|鼠|13
夕|저녁, 밤|석|夕|3
奭|클, 성낼|석|大|15
席|자리, 깔|석|巾|10
惜|아낄, 아깝게 여길|석|忄|11
昔|옛, 접때|석|日|8
晳|밝을|석|日|12
析|쪼갤|석|木|8
汐|석수|석|氵|6
淅|일, 비바람소리|석|氵|11
潟|개펄|석|氵|15
石|돌, 섬|석|石|5
碩|클, 충실할|석|石|14
蓆|자리, 클|석|艹|14
釋|풀, 놓을|석|釆|20
錫|주석, 지팡이|석|金|16
仙|신선, 센트|선|亻|5
僊|신선|선|亻|13
先|먼저, 앞설|선|儿|6
善|착할, 옳게 여길|선|口|12
嬋|고울|선|女|15
宣|베풀, 널리 펼|선|宀|9
扇|부채|선|戶|10
敾|다스릴, 기울|선|攵|16
旋|돌, 돌아설|선|方|11
渲|바림|선|氵|12
煽|부채질할|선|火|14
琁|옥|선|王|11
瑄|도리옥|선|王|13
璇|아름다운 옥|선|王|15
璿|아름다운 옥|선|王|18
癬|옴, 부스럼|선|疒|22
禪|선위할, 선|선|示|17
線|줄, 선|선|糸|15
繕|기울, 다스릴|선|糸|18
羨|부러워할, 나머지|선|羊|13
腺|샘|선|月|13
膳|찬, 먹을|선|月|16
船|배|선|舟|11
蘚|이끼|선|艹|21
蟬|매미|선|虫|18
詵|많을, 모일|선|言|13
跣|맨발|선|足|13
選|가릴|선|辶|16
銑|끌, 무쇠|선|金|14
鐥|복자|선|金|20
饍|찬, 먹을|선|食|21
鮮|고울, 적을|선|魚|17
卨|사람 이름, 벌레|설|卜|11
屑|가루, 업신여길|설|尸|10
楔|쐐기, 문설주|설|木|13
泄|샐, 설사|설|氵|8
洩|샐|설|氵|9
渫|칠, 업신여길|설|氵|12
舌|혀, 말|설|舌|6
薛|나라 이름, 쑥|설|艹|17
褻|더러울, 속옷|설|衣|17
設|베풀, 설령|설|言|11
雪|눈, 씻을|설|雨|11
齧|깨물을, 씹을|설|齒|21
說|말씀|설|言|14
剡|땅 이름|섬|刂|10
暹|해돋을|섬|日|16
殲|멸할|섬|歹|21
纖|가늘, 자세할|섬|糸|23
蟾|두꺼비, 달|섬|虫|19
贍|넉넉할, 진휼할|섬|貝|20
閃|번득일|섬|門|10
陝|땅 이름|섬|阝|10
攝|끌어잡을, 겸할|섭|扌|21
涉|건널, 거칠|섭|氵|10
燮|화할|섭|火|17
葉|성, 고을 이름|섭|艹|13
城|재|성|土|10
姓|성, 백성|성|女|8
宬|서고, 장서실|성|宀|10
性|성품, 성별|성|忄|8
惺|영리할, 깨달을|성|忄|12
成|이룰, 될|성|戈|7
星|별, 세월|성|日|9
晟|밝을|성|日|11
猩|성성이|성|犭|12
珹|옥 이름|성|王|11
盛|성할, 담을|성|皿|12
省|살필, 관청|성|目|9
筬|바디, 대나무 이름|성|竹|13
聖|성인, 천자|성|耳|13
聲|소리, 풍류|성|耳|17
腥|비릴, 날고기|성|月|13
誠|정성, 참|성|言|14
醒|깰, 깨달을|성|酉|16
世|대, 세상|세|一|5
勢|기세, 형세|세|力|13
歲|해, 나이|세|止|13
洗|씻을|세|氵|9
稅|구실, 세납|세|禾|12
笹|가는 대나무|세|竹|11
細|가늘, 잘|세|糸|11
說|달랠|세|言|14
貰|세낼, 놓아줄|세|貝|12
召|부를|소|口|5
嘯|휘파람불, 읊조릴|소|口|16
塑|토우, 허수아비|소|土|13
宵|밤, 초저녁|소|宀|10
小|작을, 적을|소|小|3
少|적을, 젊을|소|小|4
巢|새집, 큰피리|소|巛|11
所|바, 곳|소|戶|8
掃|쓸|소|扌|11
搔|긁을|소|扌|13
昭|밝을|소|日|9
梳|빗, 빗을|소|木|11
沼|늪|소|氵|8
消|사라질, 물러날|소|氵|10
溯|거슬러 올라갈|소|氵|13
瀟|물 이름, 맑을|소|氵|20
炤|밝을|소|火|9
燒|불사를|소|火|16
甦|소생할, 쉴|소|生|12
疏|트일, 상소할|소|疋|12
疎|트일, 상소할|소|疋|12
瘙|종기, 부스럼|소|疒|15
笑|웃을|소|竹|10
篠|조릿대|소|竹|17
簫|퉁소|소|竹|19
素|흰색, 꾸임없는|소|糸|10
紹|이을, 소개할|소|糸|11
蔬|나물, 푸성귀|소|艹|15
蕭|맑은 대쑥, 비뚤어|소|艹|17
蘇|깨날, 차조기|소|艹|20
訴|하소연할|소|言|12
逍|거닐|소|辶|11
邵|고을 이름|소|阝|8
銷|녹일, 사라질|소|金|15
韶|아름다울, 풍류 이|소|音|14
騷|떠들, 근심할|소|馬|20
俗|풍속, 속될|속|亻|9
屬|무리|속|尸|21
束|묶을, 약속할|속|木|7
涑|헹굴|속|氵|10
粟|조, 벼|속|米|12
續|이을|속|糸|21
謖|일어날|속|言|17
贖|속바칠|속|貝|22
速|빠를|속|辶|11
孫|손자|손|子|10
巽|괘 이름, 사양할|손|己|12
損|덜, 상할|손|扌|13
蓀|향풀 이름, 창포|손|艹|14
遜|겸손할, 못할|손|辶|14
飡|저녁밥|손|食|11
率|거느릴, 앞장설|솔|玄|11
宋|송나라|송|宀|7
悚|두려워 할, 송구스|송|忄|10
松|소나무|송|木|8
淞|강 이름|송|氵|11
訟|송사할|송|言|11
誦|욀, 읽을|송|言|14
送|보낼|송|辶|10
頌|기릴, 점사|송|頁|13
刷|인쇄할, 솔질할|쇄|刂|8
殺|덜, 매우|쇄|殳|11
灑|뿌릴, 깨끗할|쇄|氵|22
碎|부술, 잘|쇄|石|13
鎖|쇠사슬, 자물쇠|쇄|金|18
衰|쇠할, 약할|쇠|衣|10
釗|쇠|쇠|金|10
修|닦을, 꾸밀|수|亻|10
受|받을|수|又|8
嗽|기침할, 양치질할|수|口|14
囚|가둘, 죄수|수|囗|5
垂|드리울, 거의|수|土|8
壽|목숨|수|士|14
嫂|형수|수|女|13
守|지킬, 살필|수|宀|6
岫|산굴|수|山|8
峀|산굴|수|山|8
帥|장수|수|巾|9
愁|근심, 근실할|수|心|13
戍|수자리|수|戈|6
手|손, 손으로 할|수|手|4
授|줄, 가르칠|수|扌|11
搜|찾을|수|扌|13
收|거둘, 잡을|수|攵|6
數|셈할, 셈|수|攵|15
樹|나무, 심을|수|木|16
殊|다를, 뛰어날|수|歹|10
水|물, 강|수|水|4
洙|물 이름|수|氵|9
漱|양치질할, 빨|수|氵|14
燧|봉화|수|火|17
狩|사냥할, 순행|수|犭|9
獸|짐승|수|犬|19
琇|옥돌, 빛날|수|王|11
璲|패옥|수|王|17
瘦|파리할|수|疒|15
睡|졸, 잘|수|目|13
秀|빼어날, 이삭|수|禾|7
穗|이삭|수|禾|17
竪|아이, 내시|수|立|13
粹|순수할, 정할|수|米|14
綏|편안할, 끈|수|糸|13
綬|끈|수|糸|14
繡|수, 비단|수|糸|19
羞|부끄러워 할, 음식|수|羊|11
脩|길, 포|수|月|11
茱|수유나무|수|艹|10
蒐|모을, 사냥|수|艹|14
蓚|식물독즙|수|艹|14
藪|늪, 수풀|수|艹|19
袖|소매|수|衤|10
誰|누구, 옛|수|言|15
讐|원수|수|言|23
輸|보낼|수|車|16
遂|이룰, 드디어|수|辶|13
邃|깊을|수|辶|18
酬|잔돌릴, 갚을|수|酉|13
銖|중량 이름, 무딜|수|金|14
銹|녹쓸, 산화철|수|金|15
隋|수나라|수|阝|12
隧|굴, 길|수|阝|16
隨|따를|수|阝|16
雖|비록|수|隹|17
需|구할, 기다릴|수|雨|14
須|수염, 기다릴|수|頁|12
首|머리, 자백할|수|首|9
髓|골|수|骨|23
鬚|수염|수|髟|22
叔|아재비|숙|又|8
塾|글방, 행랑방|숙|土|14
夙|일찍, 새벽|숙|夕|6
孰|누구, 어느|숙|子|11
宿|잘, 묵을|숙|宀|11
淑|맑을, 착할|숙|氵|11
潚|성|숙|氵|16
熟|익을, 익힐|숙|灬|15
琡|옥 이름|숙|王|12
璹|옥그릇, 옥 이름|숙|王|18
肅|엄숙할, 공경할|숙|聿|13
菽|콩|숙|艹|12
巡|돌|순|巛|7
徇|두루, 좇을|순|彳|9
循|돌, 좇을|순|彳|12
恂|진실할, 두려워할|순|忄|9
旬|열흘, 두루미칠|순|日|6
栒|가름대나무|순|木|10
楯|방패, 난간|순|木|13
橓|무궁화나무|순|木|16
殉|따라죽을, 구할|순|歹|10
洵|진실로, 소리없이|순|氵|9
淳|순박할|순|氵|11
珣|옥 이름|순|王|10
盾|방패|순|目|9
瞬|눈깜짝거릴|순|目|17
筍|죽순, 대싹|순|竹|12
純|순수할, 천진할|순|糸|10
脣|입술|순|月|11
舜|순임금, 무궁화|순|舛|12
荀|죽순, 대싹|순|艹|10
蓴|순채|순|艹|15
蕣|무궁화|순|艹|16
詢|물을|순|言|13
諄|도울, 지성스러울|순|言|15
醇|전국술, 순수할|순|酉|15
錞|악기 이름|순|金|16
順|순할, 좇을|순|頁|12
馴|길들일|순|馬|13
戌|열한째 지지|술|戈|6
術|길, 꾀|술|行|11
述|말할, 지을|술|辶|9
鉥|돗바늘, 이끌|술|金|13
崇|높일, 높을|숭|山|11
崧|우뚝솟을|숭|山|11
嵩|숭산, 높을|숭|山|13
瑟|큰 거문고|슬|王|13
膝|무릎|슬|月|15
蝨|이|슬|虫|15
濕|축축할|습|氵|17
拾|주울|습|扌|9
習|익힐, 익숙할|습|羽|11
褶|사마치|습|衤|16
襲|엄습할, 물려받을|습|衣|22
丞|정승, 이을|승|一|6
乘|탈, 의지할|승|丿|10
僧|중|승|亻|14
勝|이길, 나을|승|力|12
升|되, 오를|승|十|4
承|이을, 받을|승|手|8
昇|오를, 올릴|승|日|8
繩|노, 먹줄|승|糸|19
蠅|파리|승|虫|19
陞|오를|승|阝|10
侍|모실|시|亻|8
匙|숟가락|시|匕|11
嘶|말울, 새울|시|口|15
始|비로소|시|女|8
媤|시집|시|女|12
尸|주검, 시동|시|尸|3
屎|똥|시|尸|9
屍|주검|시|尸|9
市|저자, 시가|시|巾|5
弑|죽일, 웃사람 죽일|시|弋|13
恃|믿을, 의뢰할|시|忄|9
施|베풀, 줄|시|方|9
是|이, 옳을|시|日|9
時|때, 철|시|日|10
枾|감|시|木|9
柴|섶, 땔나무|시|木|9
猜|시새울, 의심할|시|犭|11
矢|살, 맹세할|시|矢|5
示|보일, 가르칠|시|示|5
翅|날개, 뿐|시|羽|10
蒔|모종할|시|艹|14
蓍|톱풀, 점대|시|艹|14
視|볼, 견줄|시|見|12
試|시험할, 쓸|시|言|13
詩|시|시|言|13
諡|시호|시|言|16
豕|돼지|시|豕|7
豺|승냥이|시|豸|10
埴|찰흙|식|土|11
寔|이, 참|식|宀|12
式|법, 예식|식|弋|6
息|숨쉴, 쉴|식|心|10
拭|닦을|식|扌|9
植|심을|식|木|12
殖|심을, 불릴|식|歹|12
湜|맑을|식|氵|12
熄|꺼질|식|火|14
篒|귀후비개|식|竹|15
蝕|벌레먹을, 일식|식|虫|15
軾|수레앞턱가로나무|식|車|13
食|먹을, 먹이|식|食|9
飾|꾸밀|식|食|14
識|알, 식견|식|言|19
伸|펼, 기지개켤|신|亻|7
侁|걷는모양|신|亻|8
信|믿을, 펼|신|亻|9
呻|끙끙거릴, 웅엉거릴|신|口|8
娠|아이밸|신|女|10
宸|집, 대궐|신|宀|10
愼|삼갈|신|忄|13
新|새, 새로울|신|斤|13
晨|새벽|신|日|11
燼|탄나머지, 나머지|신|火|18
申|납, 아홉째 지지|신|田|5
神|귀신, 신선|신|示|10
紳|큰띠, 벼슬아치|신|糸|11
腎|콩팥, 자지|신|月|12
臣|신하, 백성|신|臣|6
莘|족두리풀, 길|신|艹|11
薪|땔나무|신|艹|17
藎|조개풀, 나아갈|신|艹|18
蜃|대합조개|신|虫|13
訊|물을|신|言|10
身|몸, 애밸|신|身|7
辛|매울|신|辛|7
辰|다섯째 지지|신|辰|7
迅|빠를|신|辶|7
失|잃을, 그르칠|실|大|5
室|집, 방|실|宀|9
實|열매, 실제|실|宀|14
悉|다, 다알|실|心|11
審|살필, 자세히 밝힐|심|宀|15
尋|찾을, 여덟자|심|寸|12
心|마음, 염통|심|心|4
沁|물 이름, 더듬어 찾|심|氵|7
沈|성|심|氵|7
深|깊을, 깊이|심|氵|11
瀋|즙, 물 이름|심|氵|18
甚|심할, 더욱|심|甘|9
芯|골풀, 등심초|심|艹|8
諶|참|심|言|16
什|열|십|亻|4
十|열|십|十|2
拾|열|십|扌|9
雙|쌍, 동류할|쌍|隹|18
氏|씨|씨|氏|4
亞|버금|아|二|8
俄|갑자기, 아라사|아|亻|9
兒|아이, 아들|아|儿|8
啞|벙어리, 놀랄|아|口|11
娥|예쁠, 여자 이름|아|女|10
峨|높을|아|山|10
我|나, 우리|아|戈|7
牙|어금니, 대장기|아|牙|4
芽|싹, 비롯할|아|艹|8
莪|쑥|아|艹|11
蛾|나방, 눈썹|아|虫|13
衙|마을, 관청|아|行|13
訝|맞을, 의아할|아|言|11
阿|언덕, 아름다울|아|阝|8
雅|우아할, 바를|아|隹|12
餓|주릴|아|食|16
鴉|큰부리 까마귀, 검|아|鳥|15
鵝|거위|아|鳥|18
堊|흰흙, 희게 칠할|악|土|11
岳|큰산|악|山|8
嶽|큰산|악|山|17
幄|장막, 군막|악|巾|12
愕|놀랄, 깜짝놀랄|악|忄|12
握|쥘|악|扌|12
樂|풍류, 연주할|악|木|15
渥|두터울|악|氵|12
鄂|고을 이름, 놀랄|악|阝|12
鍔|칼날, 칼끝|악|金|17
顎|턱|악|頁|18
鰐|악어|악|魚|20
齷|작을, 악착할|악|齒|24
惡|나쁠|악|心|12
安|편안, 안존할|안|宀|6
岸|언덕|안|山|8
按|살필, 생각할|안|扌|9
晏|늦을, 편안할|안|日|10
案|책상, 생각할|안|木|10
眼|눈, 고동|안|目|11
雁|기러기|안|隹|12
鞍|안장|안|革|15
顔|얼굴|안|頁|18
鮟|아귀|안|魚|17
斡|돌릴, 관리할|알|斗|14
謁|뵐, 아뢸|알|言|16
軋|삐걱거릴|알|車|8
閼|막을|알|門|16
唵|머금을|암|口|11
岩|바위|암|山|8
巖|바위|암|山|23
庵|초막, 암자|암|广|11
暗|어두울, 몰래|암|日|13
癌|암|암|疒|17
菴|암자|암|艹|12
闇|어두울|암|門|17
壓|누를|압|土|17
押|도장 찍을, 누를|압|扌|8
狎|친압할, 익을|압|犭|8
鴨|오리|압|鳥|16
仰|우러러볼, 사모할|앙|亻|6
央|가운데|앙|大|5
怏|원망할, 앙심먹을|앙|忄|8
昻|밝을, 들|앙|日|9
殃|재앙|앙|歹|9
秧|모|앙|禾|10
鴦|원앙|앙|鳥|16
厓|언덕, 가장자리|애|厂|8
哀|슬플, 불쌍히 여길|애|口|9
埃|티끌|애|土|10
崖|낭떠러지|애|山|11
愛|사랑, 그리워할|애|心|13
曖|희미할, 가릴|애|日|17
涯|물가, 끝|애|氵|11
碍|막을, 거리낄|애|石|13
艾|쑥, 약쑥|애|艹|6
隘|좁을, 더러울|애|阝|13
靄|놀|애|雨|24
厄|재앙|액|厂|4
